Timestamp,HeartRate_BPM,Activity_X,Activity_Y,Activity_Z,Activity_Status,SkinTemp_Celsius,Sleep_Status,Health_Status
2024-08-14 06:00:00,99,-0.54,-0.36,-0.04,Lying,40.3,Awake,Unhealthy
2024-08-14 06:05:00,55,0.47,-0.14,-0.06,Standing,37.9,Awake,Healthy
2024-08-14 06:10:00,73,-0.82,-0.83,0.86,Standing,40.9,Awake,Unhealthy
2024-08-14 06:15:00,62,0.11,-0.14,-0.84,Lying,39.8,Awake,Unhealthy
2024-08-14 06:20:00,80,-0.04,-0.15,0.22,Standing,38.9,Awake,Healthy
2024-08-14 06:25:00,79,0.42,0.28,-0.15,Standing,40.5,Awake,Unhealthy
2024-08-14 06:30:00,77,-0.46,-0.3,-0.52,Lying,38.1,Awake,Unhealthy
2024-08-14 06:35:00,90,-0.93,-0.38,-0.39,Lying,38.4,Awake,Unhealthy
2024-08-14 06:40:00,67,-0.06,-0.76,0.5,Standing,39.4,Awake,Healthy
2024-08-14 06:45:00,82,0.92,0.87,0.94,Standing,39.8,Awake,Unhealthy
2024-08-14 06:50:00,56,0.72,0.39,-0.68,Standing,40.0,Awake,Unhealthy
2024-08-14 06:55:00,82,0.46,-0.03,-0.05,Standing,39.9,Awake,Unhealthy
2024-08-14 07:00:00,62,-0.47,-0.31,-0.7,Lying,37.9,Awake,Unhealthy
2024-08-14 07:05:00,91,0.27,0.33,0.73,Standing,36.7,Awake,Unhealthy
2024-08-14 07:10:00,79,-0.83,-0.42,0.91,Standing,39.7,Awake,Unhealthy
2024-08-14 07:15:00,58,-0.28,-0.48,0.16,Lying,40.6,Sleeping,Unhealthy
2024-08-14 07:20:00,56,0.62,-0.7,0.42,Standing,39.5,Awake,Healthy
2024-08-14 07:25:00,62,-0.69,0.86,0.92,Standing,37.7,Awake,Healthy
2024-08-14 07:30:00,61,-0.88,-0.71,0.5,Standing,38.2,Awake,Healthy
2024-08-14 07:35:00,74,-0.28,0.99,0.38,Standing,39.4,Awake,Healthy
2024-08-14 07:40:00,93,0.56,0.25,0.56,Standing,40.6,Awake,Unhealthy
2024-08-14 07:45:00,77,0.64,0.76,0.65,Standing,36.6,Awake,Healthy
2024-08-14 07:50:00,78,-0.83,-0.13,0.05,Lying,40.3,Awake,Unhealthy
2024-08-14 07:55:00,95,0.08,-0.19,-0.53,Lying,37.8,Awake,Unhealthy
2024-08-14 08:00:00,86,-0.71,0.59,-0.5,Standing,40.6,Awake,Unhealthy
2024-08-14 08:05:00,57,-0.44,-0.87,-0.23,Lying,37.9,Sleeping,Unhealthy
2024-08-14 08:10:00,76,0.12,-0.0,0.49,Standing,39.4,Awake,Healthy
2024-08-14 08:15:00,88,0.02,0.55,0.76,Standing,38.7,Awake,Unhealthy
2024-08-14 08:20:00,97,-0.71,-0.92,0.7,Standing,37.9,Awake,Unhealthy
2024-08-14 08:25:00,50,0.37,0.61,0.21,Standing,39.6,Awake,Unhealthy
2024-08-14 08:30:00,64,0.4,0.24,0.83,Standing,39.4,Awake,Healthy
2024-08-14 08:35:00,99,0.15,-0.27,0.05,Lying,39.1,Awake,Unhealthy
2024-08-14 08:40:00,77,-0.83,-0.35,0.01,Lying,38.6,Awake,Unhealthy
2024-08-14 08:45:00,96,0.77,-0.51,-0.08,Standing,40.4,Awake,Unhealthy
2024-08-14 08:50:00,56,0.41,0.38,0.03,Standing,36.9,Awake,Healthy
2024-08-14 08:55:00,85,0.16,0.01,-0.8,Lying,40.8,Awake,Unhealthy
2024-08-14 09:00:00,82,-0.97,-0.81,0.65,Standing,37.3,Awake,Healthy
2024-08-14 09:05:00,87,-0.88,-0.32,0.21,Standing,39.5,Awake,Unhealthy
2024-08-14 09:10:00,73,-0.52,0.46,0.75,Standing,38.3,Awake,Healthy
2024-08-14 09:15:00,99,0.5,-0.29,-0.93,Standing,40.9,Awake,Unhealthy
2024-08-14 09:20:00,72,0.34,0.51,-0.89,Standing,38.4,Awake,Healthy
2024-08-14 09:25:00,64,-0.38,0.94,0.88,Standing,37.5,Awake,Healthy
2024-08-14 09:30:00,80,0.98,-0.0,0.48,Standing,38.6,Awake,Healthy
2024-08-14 09:35:00,68,-0.88,0.49,0.72,Standing,39.0,Awake,Healthy
2024-08-14 09:40:00,70,0.11,-0.68,0.74,Standing,37.0,Awake,Healthy
2024-08-14 09:45:00,82,0.15,-0.03,0.63,Standing,38.0,Awake,Healthy
2024-08-14 09:50:00,52,0.95,0.89,-0.03,Standing,39.8,Awake,Unhealthy
2024-08-14 09:55:00,53,0.77,-0.51,0.29,Standing,37.4,Awake,Healthy
2024-08-14 10:00:00,79,-0.45,-0.82,0.09,Lying,39.5,Awake,Unhealthy
2024-08-14 10:05:00,54,-0.48,-0.88,-0.96,Lying,40.3,Sleeping,Unhealthy
2024-08-14 10:10:00,63,-0.31,0.26,0.73,Standing,39.1,Awake,Healthy
2024-08-14 10:15:00,75,0.16,0.32,-0.17,Standing,38.6,Awake,Healthy
2024-08-14 10:20:00,87,-0.93,0.02,0.15,Lying,36.6,Awake,Unhealthy
2024-08-14 10:25:00,93,-0.07,-0.98,-0.09,Lying,39.8,Awake,Unhealthy
2024-08-14 10:30:00,72,0.28,0.29,0.55,Standing,40.1,Awake,Unhealthy
2024-08-14 10:35:00,76,-0.8,0.94,-0.06,Standing,36.7,Awake,Healthy
2024-08-14 10:40:00,90,-0.73,0.56,-0.33,Standing,40.8,Awake,Unhealthy
2024-08-14 10:45:00,93,-0.56,0.76,0.73,Standing,37.5,Awake,Unhealthy
2024-08-14 10:50:00,92,-1.0,-0.73,0.86,Standing,39.3,Awake,Unhealthy
2024-08-14 10:55:00,87,-0.16,-0.71,-0.73,Lying,40.1,Awake,Unhealthy
2024-08-14 11:00:00,68,-0.4,-0.41,-0.58,Lying,37.9,Awake,Unhealthy
2024-08-14 11:05:00,70,0.04,0.91,0.69,Standing,38.9,Awake,Healthy
2024-08-14 11:10:00,59,-0.34,0.87,-0.6,Standing,36.5,Awake,Healthy
2024-08-14 11:15:00,72,-0.18,-0.76,0.18,Lying,37.9,Awake,Unhealthy
2024-08-14 11:20:00,56,-0.09,-0.2,-0.21,Lying,38.6,Sleeping,Unhealthy
2024-08-14 11:25:00,85,0.56,-0.06,0.54,Standing,40.2,Awake,Unhealthy
2024-08-14 11:30:00,59,0.43,-0.32,0.1,Standing,38.6,Awake,Healthy
2024-08-14 11:35:00,71,0.64,0.33,-0.95,Standing,39.1,Awake,Healthy
2024-08-14 11:40:00,91,-0.94,-0.01,0.26,Standing,38.7,Awake,Unhealthy
2024-08-14 11:45:00,85,0.47,0.55,-0.05,Standing,37.7,Awake,Unhealthy
2024-08-14 11:50:00,86,0.61,-0.25,0.71,Standing,38.3,Awake,Unhealthy
2024-08-14 11:55:00,79,0.3,0.34,0.97,Standing,39.8,Awake,Unhealthy
2024-08-14 12:00:00,79,0.45,0.23,0.86,Standing,39.3,Awake,Healthy
2024-08-14 12:05:00,89,-0.09,0.73,-0.29,Standing,40.9,Awake,Unhealthy
2024-08-14 12:10:00,71,-0.47,0.19,-0.88,Lying,38.4,Awake,Unhealthy
2024-08-14 12:15:00,52,-0.92,0.38,-0.54,Standing,38.3,Awake,Healthy
2024-08-14 12:20:00,79,-0.01,-0.53,-0.0,Lying,37.3,Awake,Unhealthy
2024-08-14 12:25:00,84,0.76,-0.86,0.74,Standing,37.7,Awake,Healthy
2024-08-14 12:30:00,52,-0.62,0.81,-0.78,Standing,37.5,Awake,Healthy
2024-08-14 12:35:00,89,-0.5,0.32,-0.04,Standing,39.8,Awake,Unhealthy
2024-08-14 12:40:00,79,0.85,0.61,0.57,Standing,39.1,Awake,Healthy
2024-08-14 12:45:00,89,-0.56,-0.49,-0.67,Lying,39.2,Awake,Unhealthy
2024-08-14 12:50:00,66,-0.24,0.68,-0.77,Standing,40.2,Awake,Unhealthy
2024-08-14 12:55:00,51,0.53,-0.56,-0.97,Standing,37.8,Awake,Healthy
